Report Date,Property Name,Unit Number,Size,Baths,Floor Plan Name,Square Feet,Unit Status,Total Market Rent,Lease Type Current Lease,Lease Term Current Lease,Lease End Date Current Lease,Notice On Date Current Lease,Notice For Date Current Lease,Lease Rent Current Lease,MTMFees Current Lease,Length Of Stay,Status,Renewal Status,Lease Type Future Lease,Lease Start Date Future Lease,Lease End Date Future Lease,Move In Date Future Lease,Lease Rent Future Lease,Make Ready Date Future Lease
14/09/2020,My Property,3602,3,2,C1,1014,Normal,1075,New,13,31/01/2021,,,1050,0,8,OC,Undecided,,,,,0,
14/09/2020,My Property,3603,2,1.5,B3,1014,Normal,1044,Renewal,12,31/07/2021,,,1000,0,26,OC,Undecided,,,,,0,
14/09/2020,My Property,3604,2,1.5,B3,1014,Normal,1044,Renewal,14,31/12/2020,,,820,0,34,OC,Undecided,,,,,0,
14/09/2020,My Property,3701,2,1.5,B3,1014,Normal,1044,New,12,21/02/2021,,,1050,0,7,OC,Undecided,,,,,0,
14/09/2020,My Property,3702,3,2,C1,1014,Normal,1075,New,12,26/12/2020,,,1050,0,9,OC,Undecided,,,,,0,
14/09/2020,My Property,3703,2,1.5,B3,1014,Normal,1044,Renewal,12,31/03/2021,,,880,0,29,OC,Undecided,,,,,0,
14/09/2020,My Property,3704,2,1.5,B3,1014,Normal,1044,Renewal,12,30/06/2021,,,930,0,28,OC,Undecided,,,,,0,
14/09/2020,My Property,3801,3,2,C1,1014,Normal,1075,New,12,02/06/2021,,,1050,0,3,OC,Undecided,,,,,0,
14/09/2020,My Property,3802,2,1.5,B3,1014,Normal,1044,Renewal,13,31/05/2021,,,920,0,16,OC,Undecided,,,,,0,
14/09/2020,My Property,3803,2,1.5,B3,1014,Normal,1044,Renewal,13,31/05/2021,,,955,0,17,OC,Undecided,,,,,0,
14/09/2020,My Property,3804,2,1.5,B3,1014,Normal,1144,New,12,07/05/2021,,,1050,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,401,2,2,B1,950,Normal,980,Renewal,12,28/02/2021,,,910,0,30,OC,Undecided,,,,,0,
14/09/2020,My Property,402,2,2,B1,950,Normal,980,Renewal,13,31/01/2021,,,850,0,25,OC,Undecided,,,,,0,
14/09/2020,My Property,403,2,2,B1,950,Normal,950,New,12,24/05/2021,,,950,0,4,OC,Undecided,,,,,0,
